	Domain	Group	Clade	Kingdom	Subkingdom	Division	Subdivision	Class	Order	Family	Genus	Species
Thelephora_terrestris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_terrestris
Tomentella_ellisii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_ellisii
Thelephora_alnii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_alnii
Tomentella_sublilacina	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_sublilacina
Tomentella_stuposa	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_stuposa
Tomentella_fuscocinerea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_fuscocinerea
Thelephora_caryophyllea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_caryophyllea
Tomentella_badia	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_badia
Tomentella_coerulea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_coerulea
Tomentella_ferruginea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_ferruginea
Tomentella_terrestris	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_terrestris
Tomentella_lilacinogrisea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_lilacinogrisea
Thelephora_atra	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_atra
Tomentella_galzinii	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_galzinii
Tomentella_viridula	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_viridula
Thelephora_versatilis	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Thelephora	Thelephora_versatilis
Tomentella_punicea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_punicea
Tomentella_botryoides	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_botryoides
Tomentella_subclavigera	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_subclavigera
Tomentella_cinerascens	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_cinerascens
Tomentella_subtestacea	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_subtestacea
Tomentella_papuae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_papuae
Tomentella_pisoniae	Eukaryota	Opisthokonta	Nucletmycea	Fungi	Subkingdom	Basidiomycota	Subdivision	Agaricomycetes	Thelephorales	Thelephoraceae	Tomentella	Tomentella_pisoniae
