species,Colour,species_formatted
Agaricomycetes_sp,#CCCCCC,Agaricomycetes sp
Alternaria_infectoria,#E31A1C,Alternaria infectoria
Alternaria_nepalensis,#E6F5C9,Alternaria nepalensis
Amyloporia_sinuosa,#FDC086,Amyloporia sinuosa
Archaeorhizomyces_sp,#CBD5E8,Archaeorhizomyces sp
Armillaria_mellea,#B15928,Armillaria mellea
Ascomycota_sp,#FFFFCC,Ascomycota sp
Aspergillus_corrugatus,#FFF2AE,Aspergillus corrugatus
Aspergillus_ficuum,#FFF2AE,Aspergillus ficuum
Aspergillus_fischeri,#D95F02,Aspergillus fischeri
Aspergillus_foetidus,#FCCDE5,Aspergillus foetidus
Aspergillus_fruticulosus,#CAB2D6,Aspergillus fruticulosus
Aspergillus_fumigatus,#7570B3,Aspergillus fumigatus
Aspergillus_niger,#CBD5E8,Aspergillus niger
Aspergillus_quadrilineatus,#A6761D,Aspergillus quadrilineatus
Aspergillus_sclerotiorum,#CAB2D6,Aspergillus sclerotiorum
Aspergillus_sp,#FFED6F,Aspergillus sp
Aspergillus_spinulosporus,#B2DF8A,Aspergillus spinulosporus
Aspergillus_subramanianii,#E78AC3,Aspergillus subramanianii
Aspergillus_tubingensis,#CBD5E8,Aspergillus tubingensis
Aspergillus_viridinutans,#386CB0,Aspergillus viridinutans
Aspergillus_waksmanii,#FBB4AE,Aspergillus waksmanii
Aureobasidium_pullulans,#A6761D,Aureobasidium pullulans
Bagliettoa_cazzae,#F0027F,Bagliettoa cazzae
Bjerkandera_adusta,#7FC97F,Bjerkandera adusta
Blumeria_sp,#377EB8,Blumeria sp
Botryobasidium_subcoronatum,#B15928,Botryobasidium subcoronatum
Bradymyces_oncorhynchi,#D95F02,Bradymyces oncorhynchi
Candida_albicans,#FC8D62,Candida albicans
Candida_auris,#AF3704,Candida auris
Candida_dubliniensis,#E6AB02,Candida dubliniensis
Candida_glabrata,#FFAC58,Candida glabrata
Candida_hyderabadensis,#666666,Candida hyderabadensis
Candida_inconspicua,#FFFFCC,Candida inconspicua
Candida_parapsilosis,#FFDAB3,Candida parapsilosis
Candida_tropicalis,#D95F02,Candida tropicalis
Chaetothyriales_sp,#4DAF4A,Chaetothyriales sp
Cinereomyces_lindbladii,#999999,Cinereomyces lindbladii
Cladosporium_delicatulum,#FFED6F,Cladosporium delicatulum
Clavispora_lusitaniae,#BDE8E9,Clavispora lusitaniae
Curvularia_gladioli,#66A61E,Curvularia gladioli
Cylindrobasidium_evolvens,#F1E2CC,Cylindrobasidium evolvens
Daedaleopsis_confragosa,#CAB2D6,Daedaleopsis confragosa
Dermateaceae_sp,#FFED6F,Dermateaceae sp
Dioszegia_fristingensis,#FCCDE5,Dioszegia fristingensis
Dioszegia_hungarica,#FCCDE5,Dioszegia hungarica
Dothideomycetes_sp,#E31A1C,Dothideomycetes sp
Duportella_lassa,#A65628,Duportella lassa
Endophoma_elongata,#666666,Endophoma elongata
Exophiala_sp,#FFFF99,Exophiala sp
Filobasidium_magnum,#E7298A,Filobasidium magnum
Filobasidium_sp,#A6CEE3,Filobasidium sp
Fungi_sp,#984EA3,Fungi sp
Herpotrichiellaceae_sp,#FFFF99,Herpotrichiellaceae sp
Itersonilia_pannonica,#F1E2CC,Itersonilia pannonica
Lenzites_betulina,#FDCDAC,Lenzites betulina
Leptobacillium_leptobactrum,#FF7F00,Leptobacillium leptobactrum
Malassezia_globosa,#A6D854,Malassezia globosa
Malassezia_japonica,#7570B3,Malassezia japonica
Malassezia_restricta,#CCCCCC,Malassezia restricta
Malassezia_slooffiae,#BC80BD,Malassezia slooffiae
Malassezia_sympodialis,#377EB8,Malassezia sympodialis
Melampsora_epitea,#A65628,Melampsora epitea
Melampsora_iranica,#BEBADA,Melampsora iranica
Melampsora_nujiangensis,#A65628,Melampsora nujiangensis
Melampsora_sp,#FB8072,Melampsora sp
Melampsoraceae_sp,#A65628,Melampsoraceae sp
Mycosphaerella_tassiana,#E7298A,Mycosphaerella tassiana
Nakaseomyces_sp,#33A02C,Nakaseomyces sp
Penicillium_bialowiezense,#D95F02,Penicillium bialowiezense
Penicillium_gladioli,#A6CEE3,Penicillium gladioli
Peniophoraceae_sp,#FDBF6F,Peniophoraceae sp
Pichia_norvegensis,#E5D8BD,Pichia norvegensis
Pseudeurotiaceae_sp,#F781BF,Pseudeurotiaceae sp
Pyrenula_anomala,#B3CDE3,Pyrenula anomala
Ramularia_plurivora,#CAB2D6,Ramularia plurivora
Rhodotorula_mucilaginosa,#11680B,Rhodotorula mucilaginosa
Saccharomyces_cerevisiae,#666666,Saccharomyces cerevisiae
Strobilurus_stephanocystis,#FFFF99,Strobilurus stephanocystis
Strobilurus_tenacellus,#33A02C,Strobilurus tenacellus
Timdalia_intricata,#FFD92F,Timdalia intricata
Trametes_hirsuta,#A6761D,Trametes hirsuta
Trametes_versicolor,#A6761D,Trametes versicolor
Trichomeriaceae_sp,#E78AC3,Trichomeriaceae sp
Trimmatothelopsis_smaragdula,#FFFF33,Trimmatothelopsis smaragdula
Umbilicaria_haplocarpa,#B2DF8A,Umbilicaria haplocarpa
Umbilicaria_hirsuta,#FF7F00,Umbilicaria hirsuta
Verrucaria_devensis,#66C2A5,Verrucaria devensis
Verrucaria_lapidicola,#A6761D,Verrucaria lapidicola
Verrucaria_praetermissa,#4DAF4A,Verrucaria praetermissa
Verrucariaceae_sp,#FFFF99,Verrucariaceae sp
ZEmpty,#666666,ZEmpty
